"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"6","/10","Average","Bonita Vista Middle School","https://www.greatschools.org/california/chula-vista/6278-Bonita-Vista-Middle-School/","650 Otay Lakes Road, Chula Vista, CA, 91910","Public district","7-8","1180","23:1","Sweetwater Union High School District"
"6","/10","Average","Castle Park Middle School","https://www.greatschools.org/california/chula-vista/6280-Castle-Park-Middle-School/","160 Quintard Street, Chula Vista, CA, 91911","Public district","7-8","803","20:1","Sweetwater Union High School District"
"5","/10","Average","Leonardo Da Vinci Health Sciences Charter School","https://www.greatschools.org/california/chula-vista/25145-Leonardo-Da-Vinci-Health-Sciences-Charter-School/","229 East Naples, Chula Vista, CA, 91911","Public charter","K-6","264","17:1","Chula Vista Elementary School District"
"5","/10","Average","Hawking S.T.E.A.M. Charter","https://www.greatschools.org/california/chula-vista/27082-Hawking-S.T.E.A.M.-Charter/","489 E St, Chula Vista, CA, 91911","Public charter","K-12","998","20:1","Sweetwater Union High School District"
"5","/10","Average","Palomar Elementary School","https://www.greatschools.org/california/chula-vista/5847-Palomar-Elementary-School/","300 East Palomar Street, Chula Vista, CA, 91911","Public district","K-6","339","19:1","Chula Vista Elementary School District"
"5","/10","Average","Rogers (Greg) Elementary School","https://www.greatschools.org/california/chula-vista/5850-Rogers-Greg-Elementary-School/","510 East Naples Street, Chula Vista, CA, 91911","Public district","K-6","406","18:1","Chula Vista Elementary School District"
"5","/10","Average","Vista Square Elementary School","https://www.greatschools.org/california/chula-vista/5858-Vista-Square-Elementary-School/","540 G Street, Chula Vista, CA, 91910","Public district","K-6","650","19:1","Chula Vista Elementary School District"
"5","/10","Average","Castle Park Senior High School","https://www.greatschools.org/california/chula-vista/6281-Castle-Park-Senior-High-School/","1395 Hilltop Drive, Chula Vista, CA, 91911","Public district","9-12","1675","20:1","Sweetwater Union High School District"
"4","/10","Below average","Howard Gardner Community Charter","https://www.greatschools.org/california/chula-vista/25541-Howard-Gardner-Community-Charter/","647 E Street, Chula Vista, CA, 91910","Public charter","K-8","231","20:1","Chula Vista Elementary School District"
"4","/10","Below average","High Tech Middle Chula Vista School","https://www.greatschools.org/california/chula-vista/25635-High-Tech-Middle-Chula-Vista-School/","1949 Discovery Falls Drive, Chula Vista, CA, 91915","Public charter","6-8","332","14:1","Sbc - High Technical High School District"
"4","/10","Below average","Harborside Elementary School","https://www.greatschools.org/california/chula-vista/5836-Harborside-Elementary-School/","681 Naples Street, Chula Vista, CA, 91911","Public district","K-6","668","23:1","Chula Vista Elementary School District"
