"circle-rating--small","rating-circle-small","scale","name","address","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 6","tablescraper-selected-row href 2"
"9","/10","Above average","Torrey Pines High School","3710 Del Mar Heights Road, San Diego, CA, 92130","9-12","2444","25:1","https://www.greatschools.org/california/san-diego/6091-Torrey-Pines-High-School/reviews/","San Dieguito Union High School District","https://www.greatschools.org/california/san-diego/san-dieguito-union-high-school-district/"
"9","/10","Above average","Bay Park Elementary School","2433 Denver Street, San Diego, CA, 92110","K-5","502","21:1","https://www.greatschools.org/california/san-diego/6100-Bay-Park-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Dingeman Elementary School","11840 Scripps Creek Drive, San Diego, CA, 92131","K-5","750","22:1","https://www.greatschools.org/california/san-diego/6132-Dingeman-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Doyle Elementary School","3950 Berino Court, San Diego, CA, 92122","K-5","672","21:1","https://www.greatschools.org/california/san-diego/6133-Doyle-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Ericson Elementary School","11174 Westonhill Drive, San Diego, CA, 92126","K-5","669","21:1","https://www.greatschools.org/california/san-diego/6137-Ericson-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Green Elementary School","7030 Wandermere Drive, San Diego, CA, 92119","K-5","454","21:1","https://www.greatschools.org/california/san-diego/6152-Green-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Holmes Elementary School","4902 Mount Ararat Drive, San Diego, CA, 92111","K-6","559","23:1","https://www.greatschools.org/california/san-diego/6161-Holmes-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Jerabek Elementary School","10050 Avenida Magnifica, San Diego, CA, 92131","K-5","657","22:1","https://www.greatschools.org/california/san-diego/6167-Jerabek-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Kumeyaay Elementary School","6475 Antigua Boulevard, San Diego, CA, 92124","K-5","427","20:1","https://www.greatschools.org/california/san-diego/6178-Kumeyaay-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Marvin Elementary School","5720 Brunswick Avenue, San Diego, CA, 92120","K-5","519","22:1","https://www.greatschools.org/california/san-diego/6197-Marvin-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","McKinley Elementary School","3045 Felton Street, San Diego, CA, 92104","K-5","555","22:1","https://www.greatschools.org/california/san-diego/6199-McKinley-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Mira Mesa High School","10510 Reagan Road, San Diego, CA, 92126","9-12","2400","24:1","https://www.greatschools.org/california/san-diego/6203-Mira-Mesa-High-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Miramar Ranch Elementary School","10770 Red Cedar Drive, San Diego, CA, 92131","K-5","701","21:1","https://www.greatschools.org/california/san-diego/6204-Miramar-Ranch-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Sandburg Elementary School","11230 Avenida Del Gato, San Diego, CA, 92126","K-5","536","20:1","https://www.greatschools.org/california/san-diego/6231-Sandburg-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
