,business_status,name,lat,lng,postcode,country_code
364,OPERATIONAL,Sieu Thi Thuan Phat Supermarket,32.78446700000001,-117.169781,92111,us
365,OPERATIONAL,Mitsuwa Marketplace - San Diego,32.8190018,-117.1502442,92133,us
366,OPERATIONAL,Carnival Market,32.8087361,-117.1606227,92133,us
367,OPERATIONAL,Smart & Final,32.8333901,-117.1795324,92117,us
368,OPERATIONAL,V 0utlet,32.7949339,-117.1943954,92117,us
369,OPERATIONAL,Nijiya Market San Diego Store,32.814243,-117.154087,92133,us
370,OPERATIONAL,99 Ranch Market,32.821638,-117.1769594,92117,us
371,OPERATIONAL,H Mart Balboa,32.82071730000001,-117.1574763,92111,us
372,OPERATIONAL,Sprouts Farmers Market,32.7943877,-117.1923827,92111,us
373,OPERATIONAL,Marukai,32.82148159999999,-117.147938,92133,us
374,OPERATIONAL,Trader Joe's,32.76616190000001,-117.1551652,92108,us
375,OPERATIONAL,La Tiendita Mexican Market,32.8274604,-117.2052585,92117,us
376,OPERATIONAL,Kearny Mesa Market,32.8019707,-117.1569371,92111,us
377,OPERATIONAL,palm drive,32.7967389,-117.1563463,92123,us
